Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,0,,,,,,,
"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3239994049072,22.6469993591309,24.826000213623,24.5830001831055,23.8610000610352,23.3980007171631,23.1949996948242,23.0330009460449,23.2900009155273,22.7299995422363,22.6800003051758,21.488000869751,20.1529998779297,18.818000793457,17.4629993438721,16.0400009155273,13.5,13.0500001907349,13.7600002288818,14.1999998092651,13.9799995422363,13.4399995803833,15.6400003433228,17.4899997711182,17.0799999237061,15.2200002670288,13.8669996261597
"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,5.59999990463257,5.09999990463257,3.59999990463257,4.40000009536743,5.69999980926514,6.69999980926514,6.40000009536743,6.09999990463257,7,7.30000019073486,9.5,9.10000038146973,26.5,22.2999992370605,18.3999996185303,12.8999996185303,12.3000001907349,14.8999996185303,17.7000007629395,18.3999996185303,16.7999992370605,16.3999996185303,15.8000001907349,15,14.3999996185303,14.1000003814697,13.8000001907349,15.9663000106812,13.0599002838135,13.6738996505737,14.0860004425049,13.480899810791,13.3759002685547,15.8659000396729,17.4878005981445,17.0799999237061,15.2217998504639,13.7453002929688
"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4220008850098,18.6110000610352,21.1459999084473,20.7119998931885,19.4909992218018,18.5130004882813,18.2889995574951,18.0820007324219,18.6340007781982,18.1700000762939,18.1030006408691,17.69700050354,17.0550003051758,16.4710006713867,15.914999961853,15.3430004119873,13.6979999542236,13.2790002822876,12.3109998703003,14.5679998397827,14.4390001296997,13.9610004425049,17.4820003509521,19.1490001678467,17.0370006561279,15.7049999237061,14.2889995574951
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39999961853027,7.80000019073486,24.7999992370605,20.8999996185303,17.2999992370605,11.6000003814697,11.3999996185303,13.8000001907349,15.8000001907349,16.3999996185303,14.8999996185303,14.1999998092651,13.6000003814697,12.8999996185303,12.3999996185303,12.1000003814697,11.8000001907349,15.6780996322632,12.5207004547119,12.1358003616333,12.7320003509521,13.2650995254517,14.8100996017456,17.7558002471924,,17.0699996948242,,
"Unemployment, female (% of female labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6800003051758,28.0170001983643,29.6469993591309,29.5809993743896,29.4759998321533,29.7980003356934,29.6919994354248,29.7950000762939,29.8449993133545,29.2689990997314,29.2819995880127,26.943000793457,24.5659999847412,22.1219997406006,19.617000579834,17.0009994506836,13.2290000915527,12.7399997711182,15.7969999313354,13.701000213623,13.3590002059937,12.7370004653931,13.0530004501343,15.1120004653931,17.1389999389648,14.548999786377,13.2840003967285
"Unemployment, female (% of female labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8999996185303,10.5,28.2999992370605,24.2000007629395,19.8999996185303,14.8000001907349,13.6000003814697,16.6000003814697,20.8999996185303,21.3999996185303,19.2999992370605,19.8999996185303,19.1000003814697,18.2000007629395,17.5,17.2000007629395,16.7999992370605,16.430700302124,13.7218999862671,15.643500328064,15.8437995910645,13.7531003952026,11.4893999099731,13.4357995986938,,17.1000003814697,,
"Share of youth not in education, employment or training, total (% of youth population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7695999145508,28.1175994873047,30.7338008880615,29.5018997192383,30.0109996795654,27.6543998718262,30.9775009155273,34.5,32.7999992370605,,
"Share of youth not in education, employment or training, male (% of male youth population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8426990509033,25.3356990814209,25.1266002655029,25.6858997344971,27.6522006988525,25.9601001739502,29.8192005157471,,,,
"Share of youth not in education, employment or training, female (% of female youth population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7425994873047,30.7964992523193,35.7559013366699,33.4247016906738,32.5183982849121,29.6879005432129,32.040901184082,,,,
Unemployment with intermediate education (% of total labor force with intermediate education),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1807994842529,18.5995006561279,19.5972003936768,19.7385997772217,17.5391998291016,13.1693000793457,16.9876003265381,20.7299995422363,22.9400005340576,,
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2329998016357,15.6063003540039,15.601900100708,15.7603998184204,14.601900100708,14.8336000442505,18.7968997955322,21.3299999237061,20.3700008392334,,
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6185998916626,13.6531000137329,13.2992000579834,13.3596000671387,12.8318996429443,15.7562999725342,19.7784004211426,21.6499996185303,19.0100002288818,,
