Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Presence of peace keepers (number of troops, police, and military observers in mandate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intentional homicides (per 100,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62829113819873,2.17432577339707,2.38359640733756,,1.79832951056082,1.85110259603917,1.93148877037721,1.74880763116057,1.75364059773637,1.89507123999849,1.50453348178064,1.38253907367171,1.72687900882627,1.27600590180469,1.40213045309565,1.61200872973429,1.27536321919362,
"Intentional homicides, male (per 100,000 male)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27120531792095,2.86123341834256,3.50431704904157,,,,,,,3.04306314736414,2.51640174244409,1.93218686565615,2.17738666702398,1.80828556445634,2.22820218363814,2.24719489575609,1.73231245531898,
"Intentional homicides, female (per 100,000 female)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04323586728371,1.51126124130829,1.30143939196752,,,,,,,0.786859653613889,0.527962755395383,0.852221127946621,1.29236326392804,0.762790636853903,0.605825619153783,0.999745620281062,0.834905082281486,
"Internally displaced persons, total displaced by conflict and violence (number of people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114000,113000,113000,103000,103000,100000,98000,98000,99000
"Internally displaced persons, new displacement associated with disasters (number of cases)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91000,320,,
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle-related deaths (number of people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3972,5295,2828,1345,,,,,,,,,,,,,,,,,,,,,,
Travel services (% of commercial service exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1008516958216,53.240170534391,51.9878584332147,53.5412040954648,55.1051796469667,52.4679528049836,55.8624967638504,52.5605099717638,53.3632818916961,40.2669040915536,40.6133697055616,38.7484162237769,34.6683314335567,37.6234127862951,38.9569126405412,42.3013802667508,42.5618555113444,42.5349695517467,43.8687155607013,45.2363909467145
Transport services (% of commercial service exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19479951434394,5.37495103192005,6.30513822223551,5.97626653153371,6.54427474555583,6.51953860634799,6.29191149760973,11.2213221525322,11.4488288205892,14.3869443630073,15.085207208526,16.2578867380186,16.5735551836527,19.3461316190184,19.152471695153,20.6173421444535,20.1335190229516,20.4255248411623,20.1211507655885,20.8387600201385
High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75654481928321,1.88441993978418,2.04056640621959,2.16911067684241,2.1385797906526,4.1431274922351,3.27653694476066,2.5818115687999,3.04308415338232,2.46327262133977,2.30130616144637,2.39656652109338,2.81892446777082,2.61068663329421,
High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10132143,17005162,28055487,46146287,56222543,133149252,78689990,70648090,102729055,77945331,80264967,91727882,96042566,93494459,
Commercial service exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457113148.300682,461097788.886382,447954051.121514,494918763.78418,522426247.911281,719104034.775519,861312046.486934,986626010.944108,1137294581.3234,1797807245.85774,2030327932.16787,1740556296.94691,1698317063.63541,1687162288.82725,1578805189.70867,1619187477.57639,1661247289.12754,1552375855.24009,1655515004.29183,1847968747.94736
"Computer, communications and other services (% of commercial service exports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0905996742525,38.6931310007616,38.0765623440409,36.9757369279721,34.5766399160392,37.50935481659,34.2364137729975,33.3030438301411,34.2434876503059,45.1277384383172,44.0565993547119,44.7438149926216,48.4744717517048,42.7324906234231,41.5316326522573,36.7662845444275,37.0166558534738,36.6143435006713,35.6394100761397,33.3842846434055
Export value index (2000 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.21889616,31.43124415,53.78858746,56.59494855,70.2525725,100,96.53882133,94.03985033,125.3507951,167.6963517,224.5088868,310.8512629,388.3971001,469.6990645,369.8709074,449.3086062,547.2478017,482.8633302,532.0860617,551.2628625,476.707203,492.7034612,
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.708157994694,26.1501616891711,17.5907308507285,35.0818763350315,39.0632092945551,32.3926208908015,23.119865853579,19.1981853550662,19.7490846510095,20.8826165464687,24.4116405537367,23.2665528635822,27.4358680703409,35.718220066375,38.3700614159261,39.3990038966954,39.9822020856493,38.0535615904316,38.1208763737831,36.4404954567669,35.4445248259513,33.098963755948,32.63017213517,33.1852076854286,
Merchandise exports by the reporting economy (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85233875,36429465,51579534,181100131,380657705,511135084,599231790,523457114,579436374,764738507,962725301,1670686411,2195560164,3520917360,4271534221,5164180438,3941228091,4765507819,5777093539,5044436663,5571791541,5791947552,4985143012,5359395517,
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70996097502313,0.057365651677838,0.124588174836942,0.236020812155017,0,0,3.33760663799229E-07,2.17223239419,2.23491906636845,2.40211128795689,3.03303205698133,17.7412653893909,6.93932935649674,1.70031127910369,1.7573181230988,2.3983519066961,1.80217458518059,1.8155589768428,1.82470826010283,1.84313952600419,1.83968505005489,1.8333899098125,1.84198898163927,2.10316149727078,
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12316777396478,0.108251847943023,0.053827062280076,0.226914363138177,0.285063085416392,0.261357082149627,0.207853140053794,0.49177776828782,0.068030780194094,0.071517557375394,0.078308426983359,0.041632184315819,0.063379040281319,0.038251782571089,0.029250062174749,0.019190480343026,0.051998650696509,0.054026769986799,0.103441147320666,0.119701861824942,0.111392301259784,
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022423009630854,0.021820249075851,0.017625207703505,0.000760905026623,0.000286871902409,,0.001198200783039,0.048025710851262,0.049411982548407,0.053108611150399,0.101489697942404,0.003144934899456,0.01510543894164,0.018541247443536,0.22144509468042,0.021446597641134,0.572024924197669,0.630779218956518,0.300253594353304,0.580372536238543,0.223794643217432,0.169293038515415,0.035834618900598,0.211291272757916,
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317272915258165,2.56414965193697,0.733597166659164,2.78189196892409,4.20929033867842,5.12096152648367,2.29783686876826,0.903527695680529,0.922752391792373,0.986555918257167,1.35420944961745,0.614362990709691,1.20450527540178,0.535430487922614,0.665201881335929,1.07413340153317,1.64084109081826,2.67590229296401,1.49119382295672,1.49796982394979,1.65531086942723,1.62203894556261,1.14844538786925,1.28634753268948,
