Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Presence of peace keepers (number of troops, police, and military observers in mandate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,16,16,14,16,16,14,17
"Intentional homicides (per 100,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46681351483905,4.14425645794374,5.96954406199315,3.46175321049693,4.98559716374917,2.24768378926594,2.25052146229004,1.66500166500167,1.59674044708733,
"Intentional homicides, male (per 100,000 male)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intentional homicides, female (per 100,000 female)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internally displaced persons, total displaced by conflict and violence (number of people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,18000,18000,18000,17000,17000,17000,17000,16000
"Internally displaced persons, new displacement associated with disasters (number of cases)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,10,
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle-related deaths (number of people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel services (% of commercial service exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8169875716392,48.4550072654441,48.23374216143,41.1774408535401,41.0222978662492,63.1213054267181,63.9616977821661,69.3829633939724,74.5104450243758,77.4148327180831,74.5583750605222,78.5391800756663,82.3990917362942,83.3945461102704
Transport services (% of commercial service exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3511309499323,29.5578109224765,31.6845419342064,11.6828749707479,8.68074355379643,6.8319443266487,6.11782658630152,3.68205956505977,3.48840025491955,4.36351508390064,2.96671571900525,3.6084872048617,3.21793194426054,2.82971262496791
High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial service exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203433206.285007,226305294.618969,284166472.042279,370543781.83664,488508564.83316,615136332.28937,674595297.597472,1076911407.19588,1082740271.85749,1107662374.99438,1187817441.93403,1018035321.40086,1216539587.52327,1490708436.25064
"Computer, communications and other services (% of commercial service exports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0422089530106,16.8520898182059,14.6413342028478,42.3432013933636,45.876507219471,25.5179759797154,26.1775656104511,25.1014437789297,18.926246071126,15.2727343440322,20.0299807447049,15.8171168525634,12.5930271064213,12.2164545344743
Export value index (2000 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0588112979208,60.7515991975403,60.9359400676963,60.7406902446683,64.1760011910316,63.9810152736388,62.9367975873054,63.1797672705858,66.9353657862878,
Merchandise exports by the reporting economy (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279639807,225298777,378601165,429589700,374653351,410125058,439567618,371342919,342571275,
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.005307216724461,
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64954621786018,3.58624405670875,3.5694002684857,3.58724056931533,3.27334587219534,3.29116222886337,3.38657566900208,3.36437518012832,1.130556261613,
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97571112971051,4.8894060352578,4.86644170785898,4.89076483910112,4.46280780763656,4.48709793294318,4.61718269702023,4.58691444712859,3.05445925085225,
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.580374810514728,0.570308466432554,0.56763058296453,0.57046688968567,0.520549461200468,0.52338279705894,0.538555822371793,0.535026224641704,0.482160683203809,
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198934481456,0.019546488705529,0.019455566123258,0.019554239778095,0.017842893923562,0.017939893835992,0.018459731035056,0.018339382957239,0.061196607917579,
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0588112979208,60.7515991975403,60.9359400676963,60.7406902446683,64.1760011910316,63.9810152736388,62.9367975873054,63.1797672705858,66.9353657862878,
