"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Montenegro","MNE","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.8820037841797","76.495002746582","71.9229965209961","69.4599990844727","70.1419982910156","69.0920028686523","75.2220001220703","75.713996887207","75.609001159668","74.875","74.4810028076172","75.9169998168945","77.6009979248047","80.2330017089844","81.693000793457","82.2310028076172","81.713996887207","80.7180023193359","84.9309997558594","85.5419998168945","86.0690002441406","87.8659973144531","89.4179992675781","87.4079971313477","84.3300018310547","84.1940002441406","84.1569976806641",
"Montenegro","MNE","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0879993438721","25.3209991455078","27.003999710083","26.1140003204346","26.1049995422363","24.8889999389648","24.2040004730225","24.1490001678467","24.4619998931885","23.9549999237061","25.5480003356934","24.4500007629395","23.3780002593994","21.2049999237061","19.2339992523193","18.8379993438721","17.5450000762939","21.5240001678467","19.8150005340576","18.9979991912842","18.9580001831055","17.3719997406006","18.0620002746582","17.548999786377","17.5750007629395","17.9589996337891","18.0429992675781",
"Montenegro","MNE","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7649993896484","31.5450000762939","32.4490013122559","31.5060005187988","31.4869995117188","30.4549999237061","30.3050003051758","30.3729991912842","30.7509994506836","30.1569995880127","31.9090003967285","30.8959999084473","29.882999420166","28.8010005950928","26.9419994354248","26.1380004882813","23.4270000457764","29.0900001525879","27.80299949646","26.6909999847412","26.2950000762939","25.7110004425049","26.2849998474121","25.4029998779297","25.9540004730225","26.4810009002686","26.5990009307861",
"Montenegro","MNE","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3620004653931","17.1439990997314","19.8910007476807","19.1410007476807","19.0289993286133","17.3519992828369","16.1469993591309","15.9870004653931","16.4689998626709","15.8369998931885","17.4109992980957","16.2259998321533","15.1020002365112","11.543999671936","9.45499992370605","9.58399963378906","10.1160001754761","12.0279998779297","9.82299995422363","9.39799976348877","9.75899982452393","7.14400005340576","7.98799991607666","7.7020001411438","7.36499977111816","7.54099988937378","7.57399988174438",
"Montenegro","MNE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51382.4921875","36777.0859375","23290.640625","26440.228515625","26346.9453125","36688.65234375","35458.8203125","37482.84765625","33197.18359375","36179.42578125","35343.25390625","36115.92578125","37053.48828125","38833.84765625","40321.25390625","40569.9296875","41831.30859375","43478.68359375","42017.9765625","43434.125","45028.6953125","43351.21484375","44749.953125","44757.2421875","46067.671875","47374.9609375","47975.35546875",
"Montenegro","MNE","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.41299998760223","0.920000016689301","0.845000028610229","3.39100003242493","3.06200003623962","7.13800001144409","2.22099995613098","2.28800010681152","1.66700005531311","3.15400004386902","2.18600010871887","2.19400000572205","2.0460000038147","2.06500005722046","1.85000002384186","2.10800004005432","1.85699999332428","2.43799996376038","1.33000004291534","1.48599994182587","0.977999985218048","2.09699988365173","2.37100005149841","2.08999991416931","2.48300004005432","2.4300000667572","2.57399988174438",
"Montenegro","MNE","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24500000476837","0.856000006198883","0.809000015258789","2.6949999332428","2.45700001716614","5.25400018692017","1.79999995231628","1.8400000333786","1.38699996471405","2.49399995803833","1.76900005340576","1.78299999237061","1.69099998474121","1.70299994945526","1.55799996852875","1.57000005245209","1.37300002574921","2.32500004768372","1.29999995231628","1.32599997520447","1.10399997234344","1.79200005531311","1.79200005531311","1.62600004673004","1.83200001716614","1.79200005531311","1.88999998569489",
"Montenegro","MNE","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.66700005531311","1.01800000667572","0.898999989032745","4.45800018310547","3.99499988555908","10.0299997329712","2.87299990653992","2.97399997711182","2.09400010108948","4.15299987792969","2.81800007820129","2.81399989128113","2.58100008964539","2.60800004005432","2.28600001335144","2.86400008201599","2.49900007247925","2.58599996566772","1.36800003051758","1.69200003147125","0.819999992847443","2.48399996757507","3.08299994468689","2.67300009727478","3.27900004386902","3.21399998664856","3.44000005722046",
"Montenegro","MNE","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.7720031738281","82.1439971923828","84.7259979248047","70.879997253418","71.6060028076172","56.2770004272461","67.2760009765625","66.6920013427734","70.0070037841797","64.1330032348633","67.5879974365234","67.3160018920898","67.6669998168945","67.4079971313477","67.802001953125","72.745002746582","73.5479965209961","74.2109985351563","77.5400009155273","77.822998046875","83.5739974975586","81.8130035400391","79.4810028076172","79.8919982910156","79.0749969482422","79.1009979248047","78.6809997558594",
