Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Presence of peace keepers (number of troops, police, and military observers in mandate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intentional homicides (per 100,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40313292645201,2.58142154103855,2.13841877831066,1.89188948054627,1.77137528821302,1.59522759991171,1.70058961404138,1.87187733095251,1.53853728183541,1.69888742730637,1.43969090500742,1.50104305814285,1.23925642827988,1.59188988157797,1.35063466322825,1.17497130358547,1.3942721396133,
"Intentional homicides, male (per 100,000 male)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61206503980513,3.62276342016282,3.14108993371714,2.38882671907028,2.49325114681392,2.26418511977539,2.34179606390918,2.59775043769855,2.29270259736231,2.61684199508034,1.99266518062151,2.18256571057405,1.66669482543769,2.17837147700007,1.88818143489355,1.68755458545568,1.90194230657987,
"Intentional homicides, female (per 100,000 female)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23813657879273,1.57974882089351,1.17570294742493,1.41554236611024,1.08033122048306,0.955404073290957,1.08752369362282,1.1777773542538,0.817088327248175,0.820393426144298,0.910366801957289,0.848702464501387,0.830228533512721,1.03089029879588,0.836652605765549,0.685009300658537,0.909006834029641,
"Internally displaced persons, total displaced by conflict and violence (number of people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,225000,225000,225000,97000,97000,,,
"Internally displaced persons, new displacement associated with disasters (number of cases)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,190,33000,,39,42
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle-related deaths (number of people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022,142,,,,,,1235,1398,,0,,,,,,,,,,,,,,,,
Travel services (% of commercial service exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.647785670024,23.5267699130101,24.8800588917834,22.7411756081375,23.5767255617644,23.2168061036422,23.1790614223011,22.6932161791519,22.1618333397137,22.8079642123728,22.6580243554909
Transport services (% of commercial service exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2731023164052,24.098370583853,21.1591383335112,22.4239821257815,22.5992136133311,23.6179939283622,23.758612043956,23.2942451320615,23.6464876326246,22.7578176325902,22.6561893123668
High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63457086145507,,,,5.51148756794217,2.90920824370334,4.89978175858127,2.50854130714997,3.30111194315923,5.52957833195527,4.05324949878053,,4.25980475726716,3.23913273919383,3.55823229150905,3.63211646024298,,,,,,,,,,
High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57136000,,,,49784000,42172000,74862000,22086000,34690000,66014924,52839964,,99931535,93134116,145654851,211332724,259274663,229950355,253645320,262692393,373961679,334511622,338934666,292333396,309381926,
Commercial service exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130585052.46926,4001706401.37752,3481160090.74128,3511861565.98326,4200087855.7543,3966785758.9532,4544165074.71606,5033471920.93769,4730351267.41649,5044202356.98072,5933435177.9918
"Computer, communications and other services (% of commercial service exports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2991112952198,50.7143404996601,52.566532461482,53.0905710000777,52.1196150323335,51.5435945655866,51.6692573082421,52.4745766009532,52.420445672608,53.4314742661903,53.6974530737901
Export value index (2000 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.8010447,484.3340685,568.4571097,683.6609402,651.71213,847.984852,861.4827626,776.4905978,861.9719675,
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2892621508562,45.4601735284312,46.7327373348276,47.0928240226506,46.7916483788858,47.6007971557276,47.4707689483552,40.3961836829001,40.1258036495687,38.5675459213518,38.142242192814,
Merchandise exports by the reporting economy (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5811142042,8824769460,10972798876,8343788126,9793433548,11775637903,11347617562,14716970768,14806587459,13354874076,14851690502,
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54604722016189,0.011020299220372,0.019538278466848,0.015520863910286,0.02290890104072,0.002449642239139,0.007394909067169,0.006842012638827,0.012568871829206,0.001727174653144,0.000409253074536,
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289633446891402,0.154665354849961,0.188149871635358,0.540910654950157,0.649301204611594,0.385352805289974,0.44902917922288,0.3539227523184,0.621020422528948,0.654092494641954,0.477999490970001,
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134723948294775,0.290947770549464,0.179990030102507,0.164258017977385,0.452818531750352,0.222733657539843,0.082845689402517,0.313535385286837,0.14375794597466,0.305322294826256,0.346398330836965,
